STATE,DISTRICT,Storage name,Address,Manager Name,capacity,Longitude,Latitude
Andaman And Nicobar Islands,South Andamans,Islander Marine Pvt Ltd,PORT BLAIR,Senthil O R,99,92.7264828,11.6233774
Andaman And Nicobar Islands,South Andamans,Joy Josephs,GOVIND NAGAR,Joy Josephs,15,80.3093914,26.4492218
Andaman And Nicobar Islands,South Andamans,New India Marine Pvt Ltd,NEW WANDOOR,Vincent Alvbiua,99,76.2360376,11.1955096
Andaman And Nicobar Islands,South Andamans,Ranjit Paul,B/85 INDUSTRIAL STATE DOLLYGUNJ,Ranjit Paul,60,92.7120575,11.6357989
Andaman And Nicobar Islands,South Andamans,Ten Tonne Cold Storage Ice Plant,LITTLE ANDAMAN,D. Mukherjee,99,2.1521917,41.3923703
Andaman And Nicobar Islands,South Andamans,Ten Tonne Cold Storage Ice Plant,CYLONE BASTHI LITTLE ANDAMAN,D Mukherjee,999,2.1521917,41.3923703
Andhra Pradesh,Chittoor,Bismilla Fruits,"KALLUR, BACK SIDE POLICE STATION, KALLUR",Nabisahab,6,79.0004517,13.5583316
Andhra Pradesh,Chittoor,G.Venkatramana Reddy Fruits,PUNGANOOR OLD BUS STAND,B.Sudhakar,5,78.5712022,13.3664136
Andhra Pradesh,Chittoor,Jain Unit 1,GOLLPALLI,Gollapalli,17000,80.90931479999999,16.7269099
Andhra Pradesh,Chittoor,KSA AGRI Cold Storage PVT LTD.,PUNGANOOR,Iftekhr Ali Ahmed,9000,78.5713232,13.368608
Andhra Pradesh,Chittoor,Madina Fruits,"PILLERU ROAD, MAIN ROAD, KALLUR",Ps.Sayed Basha,10,79.0004517,13.5583316
Andhra Pradesh,Chittoor,Mkb Cold Storage Pvt Ltd,"PUNGANUR, ROYALPETA ROAD",M.Jagdish,4000,80.2640711,13.0539587
Andhra Pradesh,Chittoor,Murgan Cold Storage Pvt Ltd,RAMASAMUDRAM ROAD PUNGANUR,K.Vasu,4500,78.5713232,13.368608
Andhra Pradesh,Chittoor,Sab Cold Storage,GUDURPALLI VILLEGE PUNGANUR,S.Afzal,8000,78.5713232,13.368608
Andhra Pradesh,Chittoor,Said Sairam Cold Storage Pvt Ltd,"2/250/B, AMMACHERU MITTA, KADIRI ROAD, MADANAPALLY",Co.Nagarajgupta,2500,78.50100069999999,13.5560496
Andhra Pradesh,Chittoor,Sri Lakshmivinayaka Fruits Mundi A/C Chamber,"FLAT NO 17, MANGO MARKET, TIRUCHANOOR ROAD, TIRUPA",B.Purushothamreddy,30,79.4191795,13.6287557
Andhra Pradesh,Chittoor,Sri.Lakshmivenkateshwarabanana Traders,"SHOP NO 5, AMC MARKET YARD, MARKET YARD, TIRUPATHI",S.Jayakrishana,8615,79.4191795,13.6287557
Andhra Pradesh,Chittoor,Srinifoodpark,MOGILI,Bhanu,300,78.8364948,13.1847107
Andhra Pradesh,Guntur,Amaralingeswara Cold Storage Pvt Ltd,MACHARLAROAD NADIKUDI VILAGE DACHEPALLY MANDAL,Vankayala1 Satyanarayana,6000,79.7068596,16.5879495
Andhra Pradesh,Guntur,Amaravathi Cold Storage,"578/3, LAAPURAM, NEAR MIRCH YARD ANKI REDDY PALEM",Srinivadarao,6636,80.41071389999999,16.2864231
Andhra Pradesh,Guntur,Amulya Cold Storage m,DNO9-82 NH-5 LALPURAM BY PASS ROAD,Venkateswrao,4099,80.22192609999999,13.1425492
Andhra Pradesh,Guntur,Boppudi Cold Storage Pvt Ltd,NH 5 BOPPUDI VILAGE CHILAKALURIPET MANDAL,Kumar,3200,80.1656205,16.0948008
Andhra Pradesh,Guntur,Brahmari Cold Storage,ANKIREDDYPALLI,Nagaraju,7943,79.0072883,15.3960875
Andhra Pradesh,Guntur,Chilakaluripet Cold Storage Pvt Ltd,NH5 TATA PUDI VILAGE CHPETA MANDAL,Ramarao,8000,80.1655471,16.0944603
Andhra Pradesh,Guntur,Dasu,ANKIREDDY PALEM NH-5BY PASS ROAD,Syam,8086,-71.5723953,43.1938516
Andhra Pradesh,Guntur,Dhanyalaxmi Cold Storage Pvt Ltd,GURAJALA VILAGE MANDAL,V.Suresh,5000,79.6371314,16.5580212
Andhra Pradesh,Guntur,Driveway Cold Storage,LALPURAM NH-5 PROGRAM BY PAS,A Subbarao,4510,80.4494344,16.2868497
Andhra Pradesh,Guntur,G.S.R. Cold Storage Pvt Ltd,CHPETA ROAD LAALAPURAM PANVHAITI,Sriharirao,10000,82.0031455,16.5774798
Andhra Pradesh,Guntur,Guntur Cold Storage,"SUBBAREDDY NAGAR,ANKIREDDY PALEM",Ramesh,2833,80.39230789999999,16.2876751
Andhra Pradesh,Guntur,Himagiri Cold Storage,NALLAPADU ROAD,Srimanrayanaa,3500,80.3939109,16.3063385
Andhra Pradesh,Guntur,Jaibalaji Cold Storage Pvt Ltd,GUNTUR ROAD KOTANEMALIPURI VILAGE RAJUPALEM MANDAL,K.Rameshbabu,4000,79.9296871,16.4532676
Andhra Pradesh,Guntur,Jayalakshmi Cold Storages,"AGRICULTURAL MARKET YARD PREMISES, NALLAPADU ROAD",P Srinivas,2744,80.3939109,16.3063385
Andhra Pradesh,Guntur,JyothiswaroopaColddivison Pvt Ltd,NH5DNO9-134 ANKI REDDY PALEM,Venkatreddy,6300,80.2091128,15.9060837
Andhra Pradesh,Guntur,Kanipakavigneswara Cold Storage,NH-5 BOPUDI CHILAKALURIPET,Haribabu,6000,80.1655471,16.0944603
Andhra Pradesh,Guntur,Karempudi Cold Storage Pvt Ltd,"JULLAKOL ROAD, PETASANNI GANDLAKARAMPUDI",Mallikarjunrao,4800,79.7568107,16.4191158
Andhra Pradesh,Guntur,Kaveri,GT ROAD,Arun,2000,74.2390965,31.8847743
Andhra Pradesh,Guntur,Kaveri Multi Purpose,NH 5 MARCHI YARD,Arun,3000,77.1031998,31.0306204
Andhra Pradesh,Guntur,Kommineni Cold Storage,NH5 DN O5-72 ANKIREDDY PALEM,Swamydhar,4000,83.9275643,18.3159269
Andhra Pradesh,Guntur,Kondaveedu Cold Storage,MIRCH YARDNALLAPADU ROAD,Rambabu,4000,80.3939109,16.3063385
Andhra Pradesh,Guntur,KurriAnnapurnammaGovindaReddy Cold Storage,ANKIREDDY PALEM NH-5,K Sambireddy,7000,83.9275643,18.3159269
Andhra Pradesh,Guntur,Kurriannapurnammagovindareddy Cold Storage Pvt Ltd,NH5 DN O5-45 ANKIREDDY PALEM,Sambireddy,5625,83.9275643,18.3159269
Andhra Pradesh,Guntur,Lakshminarasimha Cold Storage,ANKIREDDY PALEM VILLAGE,Satyanarayana,5438,80.39230789999999,16.2876751
Andhra Pradesh,Guntur,Lakshmiprasanna Cold Storage,"LALPURAM, NH-5",Anasuya,5000,77.1031998,31.0306204
Andhra Pradesh,Guntur,Laxmi Vidhya Cold Storage,LALAPURAM,Bhanu,4000,80.32827379999999,17.2181353
Andhra Pradesh,Guntur,Laxminarasimha Cold Storage,"D NO 658/A 659B, 660/A ANKIREDDY PALEM VILLAGE",Venkatapathiraju,5400,80.39230789999999,16.2876751
Andhra Pradesh,Guntur,Laxmivallabha Cold Storage,NH5 LALAPURAM BY PASS ROAD,B Hanumantharao,9763,82.0031455,16.5774798
Andhra Pradesh,Guntur,MS K S R Cold Storage Pvt Ltd,D No 466 3 Nadikudi V Dachepalli M Guntur District,Shri K Sreenivasa,11000,79.7068596,16.5879495
Andhra Pradesh,Guntur,MS Vasaviratna Cold Storage Pvt Ltd,Thikkireddypalem V Parthipadu M Guntur District,Shri Kothuri Venkata Appa Rao,7000,80.3358008,16.1813812
Andhra Pradesh,Guntur,Mahalaxmi Cold Storage Pvt Ltd,DURGI ROAD MACHARLA VILAGE MANDAL,S.K.Ameer,4675,79.4365006,16.4760816
Andhra Pradesh,Guntur,Mittapalemnarayanaswamy Cold Storage,ANKIREDDY PALEM NH-5,Prasadrao,4000,83.9275643,18.3159269
Andhra Pradesh,Guntur,Ms Palanadu Cold Storage,Rentachintala Village Guntur Dist,Ch Madhu Babu,7000,79.5524538,16.5544667
Andhra Pradesh,Guntur,Ms Uday Agro Technology Pvt Ltd,Sy No 66 B Etukur Village Old Guntur Guntur Distt,Shri J K Praveena Kumari,5000,80.44675889999999,16.2896415
Andhra Pradesh,Guntur,Nandini,ANKIREDDIPALEM VILLAGE,Satishverma,5000,80.39230789999999,16.2876751
Andhra Pradesh,Guntur,Nandini Cold Storage,ANKIREDDYPALEM VILLAGE,B Subhash,4700,80.39230789999999,16.2876751
Andhra Pradesh,Guntur,Palanadu Cold Storage,RENTACHINTALA VILAGE NEAR MARKET YARD MACHARLA ROA,A.Somasekhar,5400,79.5524538,16.5544667
Andhra Pradesh,Guntur,Panchamukha Cold Storage,"NH-5, ANKIREDDY PALEM",Srinivasarao,4000,80.39230789999999,16.2876751
Andhra Pradesh,Guntur,Pranathi Cold Storage,NH 5 MARCHI YARD,Naraaimharao,5000,77.1031998,31.0306204
Andhra Pradesh,Guntur,PsrsonsCold Storage,8-282 TENALI VDALAMUDI,Umasankarrao,3600,80.5605111,16.2355855
Andhra Pradesh,Guntur,Pushpa Athi,KANUPARRU,Krishnamurthy,8000,80.110827,16.209323
Andhra Pradesh,Guntur,Raghavendra Cold Storage,ANKIREDDY PALEM NH-5 NALLAPADU ROAD,Venkayeswarareddy,4500,80.39188949999999,16.3002007
Andhra Pradesh,Guntur,Raghavendra Cold Storage,LALAPURAM,Srinivasarao,1681,80.32827379999999,17.2181353
Andhra Pradesh,Guntur,RamyaCold Storage,"IST LANE LAKSHMIPURAM, VIJAYA TOWERS",Amarswamy,2565,80.2491427,13.0538525
Andhra Pradesh,Guntur,Ratan Cold Storage,"G.N.T. ROAD,RAJAHMUNDRY",Raja,1500,81.8040345,17.0005383
Andhra Pradesh,Guntur,S.V. Cold Storage,NH5 ANKI REDDY PALEM,Surendrababu,5000,80.2091128,15.9060837
Andhra Pradesh,Guntur,Sai Cold Storage,"LALPURAM, NH-5 BY PASS ROAD",Malleswarao,5850,77.1031998,31.0306204
Andhra Pradesh,Guntur,SaisankarCold Storage,LALAPURM,Srinivasaarao,5000,80.32827379999999,17.2181353
Andhra Pradesh,Guntur,Saisivam Cold Storage,"270/1 LALPURAM BY-PASS ROAD, NH-5",Sivaramakrishna,4500,77.1031998,31.0306204
Andhra Pradesh,Guntur,Saisivam Cold Storage,NALLAPADU ROAD,Tagjavrao,3000,80.3939109,16.3063385
Andhra Pradesh,Guntur,Sambhavi,CHILAKALURIPET ROAD NEAR MARCHIYARD,Sathish,3000,80.0702897,16.2227265
Andhra Pradesh,Guntur,Sambhavi Cold Storage,ANKIREDDY PALEM NH-5,Anilkumar,3000,83.9275643,18.3159269
Andhra Pradesh,Guntur,Sambhavi Cold Storage,ANKI REDDY PALEM BY-PASS ROAD CHEK POST,Rajesh,5400,80.2091128,15.9060837
Andhra Pradesh,Guntur,Sangamdairy,VADLAMUDI VILAGE CHEBROLU MANDAL,V.Chandrasekhar,1,80.5605111,16.2355855
Andhra Pradesh,Guntur,Sarachandra Cold Storage pvttd,DNO9-63 ANKI REDDY PALEM BY PASS ROAD,Mvvrprasad,4000,80.2091128,15.9060837
Andhra Pradesh,Guntur,Sarada,NARASARAOPETA,Raghavarao,2000,80.04964989999999,16.2359181
Andhra Pradesh,Guntur,Shambavi Cold Storage,NH5 DNO 6-75 ANKI REDDY PALEM,Subbareddy,3000,80.39230789999999,16.2876751
