STATE,DISTRICT,Storage name,Address,Manager Name,capacity
Andaman And Nicobar Islands,South Andamans,Andabar Cold Storage Pvt Ltd,"CITIZEN CLONY OPPOSITE AIRPORT , LAMBA LINE, JUNGL",PDsudharshan,100
Andaman And Nicobar Islands,South Andamans,Islander Marine Pvt Ltd,PORT BLAIR,Senthil O R,99
Andaman And Nicobar Islands,South Andamans,Joy Josephs,GOVIND NAGAR,Joy Josephs,15
Andaman And Nicobar Islands,South Andamans,New India Marine Pvt Ltd,NEW WANDOOR,Vincent Alvbiua,99
Andaman And Nicobar Islands,South Andamans,Ranjit Paul,B/85 INDUSTRIAL STATE DOLLYGUNJ,Ranjit Paul,60
Andaman And Nicobar Islands,South Andamans,Ten Tonne Cold Storage Ice Plant,LITTLE ANDAMAN,D. Mukherjee,99
Andaman And Nicobar Islands,South Andamans,Ten Tonne Cold Storage Ice Plant,CYLONE BASTHI LITTLE ANDAMAN,D Mukherjee,999
Andhra Pradesh,Anantapur,ANANTHAPUR,,M.C. Mahanadi,6700
Andhra Pradesh,Anantapur,"G. Subramanya Sastry , S/O Venkata Rama Sastry","D. No.. 7-4-37b, 7-4-37 C, Opp. Gram Panchayat , Uravakonda",,400
Andhra Pradesh,Anantapur,KMR Farmers Warehouse,"S.No.258/B, Vajrakarur V& M, Uravakonda Thaluka, Anantapur",,2694.44
Andhra Pradesh,Anantapur,M/S Bhagya Lahiri Godowns,"Sy. No.193/2-Kallur Village- Garladinne Mandal, Anantpur",,291.45
Andhra Pradesh,Anantapur,M/S Himashikar Cold Storage Pvt. Ltd.,Rahamathpur,,3930
Andhra Pradesh,Anantapur,M/S Kaveri Cold Storage Pvt. Ltd.,Rahamathpur,,4200
Andhra Pradesh,Anantapur,M/S Premier Cold Storage Pvt. Ltd.,Hindupur,,5500
Andhra Pradesh,Anantapur,M/S Sree Shirdi Sainaatha Warehouse,"Survey No.599-3, Village & Mandal : Beluguppa, District : Ananthapur",,4870
Andhra Pradesh,Anantapur,"M/S Sri Lakshmi Narasimha Rural Warehouse, Partnership Firm By Smt. Payyavula Obulamma And Smt. Payyavula Padma, Sy.No.38, Chinnamastur Village, Uravakonda Mandal, Anantapur Dist.","M/S Sri Lakshmi Narasimha Rural Warehouse, Partnership Firm By Smt. Payyavula Obulamma And Smt. Payyavula Padma, Sy.No.38, Chinnamastur Village, Uravakonda Mandal, Anantapur Dist.",,5572
Andhra Pradesh,Anantapur,M/S Sri Lakshminarasimha Rural Warehouse(Unit II),"Sy No 38, Chinnamastur Village, Uravakonda Mandal",,5000
Andhra Pradesh,Anantapur,Ms Tadipatri Cold Storage Pvt Ltd,,Shri B Sadasiva Reddy,8000
Andhra Pradesh,Anantapur,S.V.Farmers Godowns (Somula Rajagopal Reddy),"Sy.No.188 & 193, Guntakal Bellay Road, Konakondla Village, Guntakal Mandal",,9764
Andhra Pradesh,Anantapur,Siddartha Rural Farmers Warehouse II (Proprietorship : S. Chandrasekar Reddy),"Survey No.265/C And 265/D, Village : Puliprodduturu Mandal : Tadipathri, District Ananthapur",,4527
Andhra Pradesh,Anantapur,Smt K Lakshmi Devi Rural Godown,"Sy.No.RS 100 & 101, Bommanhal Village And Mandal, Ananthapur",,332
Andhra Pradesh,Anantapur,Sri S. Chandra Sekhar Reddy (M/S Siddartha Rural Farmers Warehouse ),"Survey No. 264/1, Puli Prodduturu Village, Tadipatri Mandal",,5000
Andhra Pradesh,Anantapur,Sri Tirumala Rural Godown ( E. Venkateswarulu ),"Survey No. 372/2A, Subbaraopeta, Nandikotkur",,860
Andhra Pradesh,Chittoor,A1madina Fruits,"4-142/5, TARAKA RAMATAKIS, BACK SIDE, MADANAPALLY,",Cc.Chanbasha,
Andhra Pradesh,Chittoor,Akbaralibanana Cold Storage,BLOCK39 PUTTHUR,Akbarali,
Andhra Pradesh,Chittoor,Ammulubanana Cold Storage,MARKET ROAD PUTTHUR,Raghuvaran,
Andhra Pradesh,Chittoor,Balajibanana Cold Storage,BLOCK NO 28 MARKET PUTTHUR,Krishnakannaiah,
Andhra Pradesh,Chittoor,Balajibanana Cold Storage,BLOCK NO 22 MARKET PUTTHUR,Venugopal,
Andhra Pradesh,Chittoor,Bismilla Fruits,"KALLUR, BACK SIDE POLICE STATION, KALLUR",Nabisahab,6
Andhra Pradesh,Chittoor,Bl. Fruits,"SOMA, AH COM, OLD BUS STAND, PUNGANOOR,",D.Ramthulla,7
Andhra Pradesh,Chittoor,Capricon Food Products Pvt Ltd,CORICORN [At]CORPRICORN GROOP[Dot]COM,Y.RAVI SHANKAR,6
Andhra Pradesh,Chittoor,Chakraarthiba Chakravarthibanana Cold Storage,"BLOCK-3, MANGO MARKET, AGRICULTURE MARKET, TIRUPAT",Chakravarthi,
Andhra Pradesh,Chittoor,Darmasai Fruits,BLOCK NO 18 MARKET PUTTHUR,R.Urali,
Andhra Pradesh,Chittoor,G. Bhanuprakash,"Bhanuprakashnagar, Venkatapuram Village,Yarpedu Mandal",,9555
Andhra Pradesh,Chittoor,G. Jagadish,"Bhanuprakashnagar, Venkatapuram Village,Yarpedu Mandal",,9555
Andhra Pradesh,Chittoor,G. Lavanya,"Bhanuprakashnagar, Venkatapuram Village,Yarpedu Mandal",,9555
Andhra Pradesh,Chittoor,G. Saraswati,"Bhanuprakashnagar, Venkatapuram Village,Yarpedu Mandal",,9555
Andhra Pradesh,Chittoor,G.Venkatramana Reddy Fruits,PUNGANOOR OLD BUS STAND,B.Sudhakar,5
Andhra Pradesh,Chittoor,Ghousekhan Fruits,"KHADIRI ROAD, OPP GOVT HOSPITAL, MADANA PALLY,",Ghousekhan,
Andhra Pradesh,Chittoor,Heritage Foods Limited,HFILSPM[At]GMAIL[Dot]COM,J.Reddeppa,25
Andhra Pradesh,Chittoor,Heritage Foods Limted,MANJUNATH[Dot]GC[At]HERITAGETETAIL[Dot]COM,Sri Dgm Manjunatha,1800
Andhra Pradesh,Chittoor,Jain Unit 1,GOLLPALLI,Gollapalli,17000
Andhra Pradesh,Chittoor,K N M Cold Storageshri,,Shri K Reddy Vara Prasad,6400
Andhra Pradesh,Chittoor,KSA AGRI Cold Storage PVT LTD.,PUNGANOOR,Iftekhr Ali Ahmed,9000
Andhra Pradesh,Chittoor,Kaleem Fruitsand Cold Storage,MARKET KUPPAM,Naheem,
Andhra Pradesh,Chittoor,Knm Cold Storage,"KURABALA KOTA, POST ANGAL MANDANA PALLY,",Ansarali,
Andhra Pradesh,Chittoor,M.Prakashandsons,"GUDI STREET, GANGAMMA LINE, TIRUPATHI,",M.Ramesh,
Andhra Pradesh,Chittoor,M/S MKB Cold Storage,Agraharam( Dakala),,4000
Andhra Pradesh,Chittoor,M/S Murugan Cold Storage Pvt. Ltd.,Jangalapalli,,3200
Andhra Pradesh,Chittoor,Madeena Food Agro S Products,"PK STREET, OLD BUS STAND",T.Munawar Ali,
Andhra Pradesh,Chittoor,Madeena Fruits Company,MOHAMMEDAFROZ82[At]YAHOO[Dot]COM,Smd Afroz,
Andhra Pradesh,Chittoor,Madina Fruits,"PILLERU ROAD, MAIN ROAD, KALLUR",Ps.Sayed Basha,10
Andhra Pradesh,Chittoor,Mkb Cold Storage Pvt Ltd,"PUNGANUR, ROYALPETA ROAD",M.Jagdish,4000
Andhra Pradesh,Chittoor,Murgan Cold Storage Pvt Ltd,RAMASAMUDRAM ROAD PUNGANUR,K.Vasu,4500
Andhra Pradesh,Chittoor,Prabharaipling Mandi,"17-422/1, SUNDAR AYYAR STREET,",Prabhakareddy,35
Andhra Pradesh,Chittoor,Punganur Cold Storage Pvt Ltd,"RAMPALLI VILLAGE PALAMANER MANDAL, MAIN ROAD",P.Shaik Sajjad,4000
Andhra Pradesh,Chittoor,RENIGUNTA,,G. Siddaramaiah,20350
Andhra Pradesh,Chittoor,Rahaman Fruits,"NURSING HOME STREET, MADANA PALLY,",S.Imtiyaz Basha,20
Andhra Pradesh,Chittoor,Sab Cold Storage,GUDURPALLI VILLEGE PUNGANUR,S.Afzal,8000
Andhra Pradesh,Chittoor,Sachinbanana Cold Storage,"BLOCK-8, PUTTHUR NEW BUS STAND ROAD",Sachin,
Andhra Pradesh,Chittoor,Safa Company,"MAIN ROAD, ROAD BYPASS, KATTUR",S.Bavaji,
Andhra Pradesh,Chittoor,Said Sairam Cold Storage Pvt Ltd,"2/250/B, AMMACHERU MITTA, KADIRI ROAD, MADANAPALLY",Co.Nagarajgupta,2500
Andhra Pradesh,Chittoor,Sharan Cold Storage,,Shri M Prashant Naik,5000
Andhra Pradesh,Chittoor,Sivaiah,"BLOCK NO-3, TARNAPALLY X ROAD, MANGO YARD, TIRUCHA",S.Sivaiah,36
Andhra Pradesh,Chittoor,Smr Fruits Merchents,"PROP S MASTAN, NEAR OLD BUS STAND, BESIDE TUNGA HO",S.Mastan,4
Andhra Pradesh,Chittoor,Sri Balaji Cold Storage,"5-1, KONDASAMUDRAM, PUNGANOOR, PALAMANER, PUNGANOO",J.Sunilkumar,5000
Andhra Pradesh,Chittoor,Sri Balaji Cold Storage,Kummaranatham,,3333.26
Andhra Pradesh,Chittoor,Sri Lakshminarasimha Banana Traders,"BLOCK-14, AGRICULTURE MARKET YARD, MANGO MARKET YA",Y.Shankaraiah,
Andhra Pradesh,Chittoor,Sri Lakshmivinayaka Fruits Mundi A/C Chamber,"FLAT NO 17, MANGO MARKET, TIRUCHANOOR ROAD, TIRUPA",B.Purushothamreddy,30
Andhra Pradesh,Chittoor,Sri Srinivaasaagri Cold Storage India Pvt Ltd,"4-24/A, BALAGURAVAIAHGARIPALLY ROAD, PUNGANOOR,",Kp.Shobanbabu,500
Andhra Pradesh,Chittoor,Sri V Govindarajulu Unit - I,"Survey No.228/1, Peddakannali Village, Thottambedu Mandal, Chittoor District",,510.15
Andhra Pradesh,Chittoor,Sri V Govindarajulu Unit - II,"Survey No.228/1, Peddakannali Village, Thottambedu Mandal, Chittoor District",,229.48
Andhra Pradesh,Chittoor,Sri.Lakshmivenkateshwarabanana Traders,"SHOP NO 5, AMC MARKET YARD, MARKET YARD, TIRUPATHI",S.Jayakrishana,8615
Andhra Pradesh,Chittoor,Srikrishana Cold Storage Pvt Ltd,"28-122, MELUPATLA, POWER OPP PUNGANOR,",G.Krishnareddy,
Andhra Pradesh,Chittoor,Srilaxmivenkateshwara Fruitsmarchents,"12-4-429, BANDA STREET, NANUGUKALLA MANDAPAM, TIRU",Y.Tirupalaiah,10
Andhra Pradesh,Chittoor,Srinifoodpark,MOGILI,Bhanu,300
Andhra Pradesh,Chittoor,Srinivasabaanaripling Mandi,"17-114, SUNDAR AYYAR STREET, OLD BUS STAND,",Shanukareddy,
Andhra Pradesh,Chittoor,Srisaisadanbanana Mandi,"11-404, DTK ROAD, GURNADHA THIYAN",K.Pandiyan,7
Andhra Pradesh,Chittoor,Star Fruits,"MSR THIYATN, NARSING HOME STREET, MADANAPALLY,",Sr.Akbar Basha,6
Andhra Pradesh,Chittoor,Swethabanana Cold Storage,6-12-B MARKET KUPPAM,P.Ananth,
Andhra Pradesh,Chittoor,Venkateshwara Banana Mandi,"17-102, SUNDARAIAH STREET,",M.Munikrishna Reddy,
